Yeast_ID,YPD_doublingtime
AAB,-0.280670892
AAC,-1.543013816
AAD,0.144227889
AAE,-0.088871054
AAG,-0.327363679
AAH,-0.142360863
AAI,-0.135401421
AAK,0.165583308
AAL,-0.053790685
AAM,-0.247057459
AAN,-0.336877187
AAP,-0.205223287
AAQ,-0.129726305
AAR,-0.342596152
AAS,0.031519087
AAT,-0.009899377
AAV,-0.342835292
ABA,0.185676278
ABC,-0.249071972
ABD,0.056602262
ABE,-0.109342057
ABF,0.159658834
ABI,-0.049153821
ABL,-0.333465708
ABM,-0.038444055
ABP,0.396256311
ABQ,0.049490715
ABR,-0.027919737
ABT,0.382093254
ABV,0.117194122
ACA,-0.072655694
ACC,-0.124746312
ACD,-0.034412958
ACF,0.063266098
ACH,0.083603465
ACI,-0.128173101
ACK,0.112284634
ACL,-0.147106547
ACM,0.128378169
ACN,0.180086009
ACP,-0.004575086
ACQ,-1.0706953
ACR,-0.135506907
ACS,-0.007867106
ACT,0.015207075
ACV,0.014730444
ADA,-0.118540441
ADB,-0.072047931
ADC,-0.056949844
ADD,-0.034897795
ADF,0.042353848
ADG,0.107144143
ADH,0.115289731
ADI,-0.07554202
ADK,-0.494979088
ADL,-0.250487795
ADM,-0.002654479
ADN,-0.615126882
ADP,0.07723053
ADQ,0.041264627
ADR,-0.357330571
ADS,0.032554974
ADT,-0.027579448
ADV,-0.15531805
AEA,-0.214746063
AEB,-0.515789616
AEC,0.095839764
AEE,0.016925551
AEF,0.074814519
AEG,-0.106908365
AEH,-0.140863318
AEI,-0.085200922
AEL,-0.39953663
AEM,-0.612519802
AEN,-0.12597093
AEP,-1.039110669
AEQ,-0.372937741
AET,-0.135968911
AEV,-0.120225076
AFB,-2.563469776
AFC,-0.036711063
AFD,0.04606765
AFE,-0.08980392
AFF,0.072489197
AFG,-0.089996831
AFH,-0.076239214
AFI,-0.973391191
AFK,0.09726252
AFL,0.026142726
AFN,0.043016635
AFP,-0.18471067
AFQ,-0.017607958
AFR,-0.12326232
AFT,-0.282066564
AFV,-0.714931217
AGA,-0.144576312
AGC,-0.521732682
AGE,-0.032784154
AGG,-0.028512299
AGH,0.150420677
AGI,0.033113704
AGK,-0.314890003
AGM,-0.096034666
AGN,0.032413577
AGP,-0.135643721
AGR,-0.002494574
AGS,-0.031882301
AGT,0.113499805
AGV,0.039517632
AHA,-0.073010991
AHB,-0.427033387
AHC,0.21710011
AHD,-0.157115619
AHE,-0.02439003
AHG,-0.529709068
AHH,0.018096563
AHI,0.055744669
AHK,-0.531150945
AHL,-0.16806752
AHM,-0.551092398
AHN,-0.103744165
AHP,-0.260075861
AHR,-0.016837079
AHS,-0.327750198
AHT,-0.273505825
AHV,-0.371115102
AIA,-0.623117199
AIB,-0.379430798
AIC,-0.541146725
AID,0.073390472
AIE,-0.129329817
AIF,-0.040341447
AIN,0.009364533
AIP,-0.324247271
AIT,0.297826574
AKD,0.263278499
AKE,0.120696181
AKG,0.077298945
AKH,0.045052094
AKI,0.291480732
AKL,0.162614253
AKM,-0.028885376
AKN,0.080389357
AKQ,0.028871569
AKR,0.120912581
AKS,0.065606239
AKT,0.063272982
AKV,0.130075369
ALA,0.120811464
ALB,0.192394592
ALC,0.171830568
ALD,-0.040983449
ALE,0.104273124
