Feature_ID,Frequency
YGR256W,8
YHR043C_CNV,8
YBR291C,8
YBR028C,7
YNL170W_CNV,7
YLR154C-H,7
YLR154W-F,7
YML009C-A_CNV,6
YBL042C,6
YMR179W,6
YCR102C_CNV,6
YLL025W_CNV,5
YPL235W,5
YAR035W_CNV,5
YMR119W-A_CNV,5
YJR076C,5
YPL267W,5
YLR078C,5
YDL188C,5
YAL016C-A_CNV,5
YMR316C-A,5
YGL227W,5
YAR068W_CNV,4
YGR171C,4
YFL063W,4
YOR194C,4
YBL006W-A,4
YKR105C,4
YER134C_CNV,4
YBR093C,4
YDL178W,4
YNR072W_CNV,4
YLR137W,3
YPR053C_CNV,3
YMR161W,3
YJR001W,3
YAR035C-A,3
YCL008C_CNV,3
YPL250C,3
YBR060C,3
YDR509W,3
YIR017W-A,3
YBL108C-A_CNV,3
YOR139C,3
YMR221C,3
YLR467W,3
YIR018C-A_CNV,3
YIL005W,3
YNL173C,3
YER046W-A_CNV,3
YAR070C,2
YCR102W-A_CNV,2
YFL052W_CNV,2
YHR145C,2
YBR046C,2
YER071C,2
YOL097W-A_CNV,2
YDR090C,2
YDR407C,2
YOR073W-A,2
YML057C-A_CNV,2
YOR170W_CNV,2
YEL013W,2
YHR019C,2
YCR077C_CNV,2
YLR236C_CNV,2
YOR132W,2
YER103W,2
YAR069C,2
YCR040W_CNV,2
YIL169C_CNV,2
YDR442W,2
YOL060C,2
YOR392W_CNV,2
YIR036W-A_CNV,2
YOL086C_CNV,2
YEL021W_CNV,2
YLL020C_CNV,2
YEL016C,2
YBR093C_CNV,2
YHR131W-A_CNV,2
YPR073C,2
YCR006C_CNV,2
YGL063W_CNV,2
YGR293C_CNV,2
YDL191W,2
YLR286C,2
YPL268W,2
YER165C-A_CNV,2
YBR012C_CNV,2
YJR153W_CNV,2
YHR025W,1
YBR102C,1
YLR452C,1
YLR041W,1
YKL223W_CNV,1
YCL038C,1
YDR456W,1
YOR388C,1
YDR021W,1
YDR499W,1
YAL008W,1
YPL031C,1
YKL044W,1
YKL086W_CNV,1
YNR073C_CNV,1
YKR100C,1
YAL058W,1
YLR432W,1
YIL111W,1
YOR388C_CNV,1
YHR095W_CNV,1
YHR055C,1
YOL103W,1
YHR216W_CNV,1
YMR054W,1
YFL059W_CNV,1
YER030W,1
YBR152W,1
YJR112W-A,1
YGR292W_CNV,1
YLR110C,1
YBL081W,1
YOL040C,1
YOR184W,1
YBR125C,1
YGL136C,1
YBR174C,1
YDR223W,1
YCL050C,1
YMR254C,1
YMR135W-A,1
YKR080W,1
YJR153W,1
YML087C,1
YNL325C,1
YBR005W,1
YCR061W_CNV,1
YBR067C,1
YJL145W_CNV,1
YIR039C_CNV,1
YCR060W_CNV,1
YLR141W_CNV,1
YJL218W_CNV,1
YOL079W,1
YGL176C,1
YHL048C-A_CNV,1
YPR192W_CNV,1
YGL161C,1
YCR097W-A,1
YLR260W,1
YAL020C_CNV,1
YPR196W_CNV,1
YBR230W-A_CNV,1
YER141W,1
YCR053W,1
YAL047C_CNV,1
YGR187C,1
YDR149C,1
YDL241W_CNV,1
YPL035C_CNV,1
YGR291C_CNV,1
YJR154W_CNV,1
YPL019C,1
YER029C,1
YMR259C,1
YHR056C,1
YDR258C,1
YPR200C,1
YDR012W_CNV,1
YDR278C,1
YLR245C_CNV,1
YMR006C_CNV,1
YER135C_CNV,1
YPL108W_CNV,1
YMR120C,1
YJR149W_CNV,1
YCR024C-B,1
YJL129C,1
YDL017W,1
YPR029C,1
YOL059W,1
YPL013C_CNV,1
YOR118W,1
