Feature_ID,Frequency
YBR291C,17
YNL170W_CNV,15
YGR256W,15
YHR043C_CNV,14
YLR154C-H,13
YLR154W-F,13
YML009C-A_CNV,12
YBL042C,11
YPL267W,11
YBR028C,10
YAR035W_CNV,10
YAL016C-A_CNV,10
YMR179W,10
YMR119W-A_CNV,9
YMR316C-A,9
YCR102C_CNV,9
YOR194C,9
YMR080C,8
YGL227W,8
YKR105C,8
YLL025W_CNV,8
YPL235W,8
YER134C_CNV,7
YBL006W-A,6
YIL005W,6
YDL227C,6
YBR093C,6
YIR018C-A_CNV,6
YLR078C,6
YDL188C,6
YPL268W,5
YJR076C,5
YAR068W_CNV,5
YIR017W-A,5
YER165C-A_CNV,5
YGR171C,5
YLR467W,5
YFL063W,5
YOR392W_CNV,5
YGR293C_CNV,5
YDR442W,5
YDR060W,5
YAR070C,4
YBR234C,4
YLR286C,4
YMR221C,4
YGL038C,4
YMR181C,4
YER046W-A_CNV,4
YOL097W-A_CNV,4
YDR509W,4
YDL178W,4
YBR060C,4
YNL173C,4
YFL008W,4
YEL016C,4
YPR053C_CNV,4
YDR041W,4
YJL217W,4
YNR072W_CNV,4
YCR102W-A_CNV,3
YER135C_CNV,3
YPL250C,3
YLR236C_CNV,3
YHR019C,3
YBL108C-A_CNV,3
YMR161W,3
YLR137W,3
YBR230W-A_CNV,3
YJR001W,3
YAL058W,3
YGR271W,3
YOR139C,3
YDL122W,3
YHR131W-A_CNV,3
YAR035C-A,3
YNL142W,3
YOR132W,3
YCL008C_CNV,3
YLR041W,3
YDL191W,3
YOR137C,3
YLL020C_CNV,3
YLR141W_CNV,3
YBR046C,3
YJR153W_CNV,3
YIL169C_CNV,3
YCR097W-A,3
YOL086C_CNV,3
YJL016W,2
YGR074W_CNV,2
YHL047C_CNV,2
YIL024C,2
YML047C,2
YKL220C,2
YEL021W_CNV,2
YER171W,2
YKR096W,2
YBR236C,2
YBR295W,2
YER103W,2
YMR090W,2
YIR036W-A_CNV,2
YDR475C,2
YLR134W,2
YDL186W,2
YBR093C_CNV,2
YIL107C,2
YPR073C,2
YNR049C,2
YHR025W,2
YAL026C-A,2
YCR006C_CNV,2
YFL052W_CNV,2
YPR196W_CNV,2
YFL051C,2
YCR077C_CNV,2
YIR039C_CNV,2
YPR042C,2
YCR020C,2
YGL063W_CNV,2
YPR192W_CNV,2
YHL048C-A_CNV,2
YJR039W,2
YHR102W,2
YCR077C,2
YLR410W,2
YGL176C,2
YBR012C_CNV,2
YOL112W,2
YLR152C,2
YCR040W_CNV,2
YDR090C,2
YHR145C,2
YAR069C,2
YMR259C,2
YKL062W,2
YMR280C,2
