Feature_ID,Frequency
YBR291C,8
YNL170W_CNV,7
YGR256W,7
YHR043C_CNV,6
YCR102C_CNV,6
YML009C-A_CNV,6
YLR154W-F,6
YMR179W,5
YLR154C-H,5
YMR316C-A,5
YAL016C-A_CNV,5
YBR028C,4
YPL267W,4
YBL042C,4
YMR080C,4
YER134C_CNV,4
YPR053C_CNV,3
YMR119W-A_CNV,3
YPL235W,3
YLL025W_CNV,3
YAR035W_CNV,3
YFL063W,3
YGR171C,3
YGL227W,3
YFL008W,3
YOR194C,3
YAR068W_CNV,3
YER046W-A_CNV,3
YNL173C,3
YDR060W,3
YDL188C,3
YMR221C,3
YDL191W,3
YBL006W-A,3
YAR035C-A,2
YJR076C,2
YPL250C,2
YNR072W_CNV,2
YJR153W_CNV,2
YLR078C,2
YLL020C_CNV,2
YGR291C_CNV,2
YPR196W_CNV,2
YMR006C_CNV,2
YPR192W_CNV,2
YER103W,2
YGR293C_CNV,2
YJR001W,2
YLR286C,2
YDR509W,2
YMR181C,2
YHR056C,2
YPR029C,2
YLR260W,2
YOL060C,2
YDR041W,2
YMR280C,2
YCR060W_CNV,2
YAL058W,2
YDL227C,2
YDR442W,2
YEL016C,2
YHR131W-A_CNV,2
YIL169C_CNV,2
YOL097W-A_CNV,2
YPL268W,2
YGR292W_CNV,2
YER135C_CNV,2
YOL086C_CNV,2
YCL034W,2
YJL217W,2
YLR467W,2
YDL122W,2
YOR392W_CNV,2
YBL108C-A_CNV,2
YGL038C,2
YIR018C-A_CNV,2
YAR070C,2
YBR234C,2
YIL005W,2
YKR105C,2
YER165C-A_CNV,2
YOR388C,1
YCR077C_CNV,1
YPL031C,1
YKL044W,1
YCR006C_CNV,1
YPR073C,1
YKL086W_CNV,1
YGL136C,1
YAL008W,1
YER071C,1
YML087C,1
YNL325C,1
YBR093C,1
YKL062W,1
YBR236C,1
YJL016W,1
YBR295W,1
YER029C,1
YGL063W_CNV,1
YDR499W,1
YLR236C_CNV,1
YOL103W,1
YDR021W,1
YCL050C,1
YMR254C,1
YMR135W-A,1
YKR080W,1
YJR153W,1
YDR407C,1
YAL053W,1
YMR259C,1
YHR019C,1
YFL052W_CNV,1
YMR161W,1
YHR025W,1
YLR041W,1
YCL008C_CNV,1
YLR452C,1
YDR258C,1
YPL100W,1
YCR020C,1
YHL047C_CNV,1
YHR102W,1
YGR074W_CNV,1
YML047C,1
YIL107C,1
YIL024C,1
YNR049C,1
YDR296W,1
YCR077C,1
YGL262W_CNV,1
YDR475C,1
YMR090W,1
YAL026C-A,1
YKR096W,1
YAR019C,1
YLR134W,1
YGR228W,1
YBR125C,1
YKL220C,1
YER171W,1
YPR042C,1
YLR410W,1
YDL186W,1
YKL222C_CNV,1
YGR127W,1
YML013W,1
YJL117W,1
YIR020C_CNV,1
YLR230W_CNV,1
YGL139W,1
YKL151C,1
YMR173W,1
YIL014C-A_CNV,1
YDR460W,1
YGL022W,1
YAL017W,1
YDL001W,1
YOR139C,1
YDL140C,1
YBR174C,1
YKR010C,1
YMR054W,1
YBR093C_CNV,1
YIR036W-A_CNV,1
YDL097C,1
YJL145W_CNV,1
YLR245C_CNV,1
YAR029W_CNV,1
YHR001W,1
YBL105C,1
YHR165C,1
YER093C,1
YBL075C,1
YPL108W_CNV,1
YKL223W_CNV,1
YGR155W,1
YDR012W_CNV,1
YNR066C,1
YLR265C,1
YOL070C,1
YJL107C,1
YER056C,1
YOR184W,1
YHR106W,1
YAR069C,1
YOR388C_CNV,1
YHR055C,1
YBR012C_CNV,1
YPL013C_CNV,1
YJR154W_CNV,1
YLR001C,1
YDL178W,1
YOR170W_CNV,1
YEL021W_CNV,1
YHR145C,1
YJL095W,1
YBR046C,1
YLR137W,1
YCR102W-A_CNV,1
YHR216W_CNV,1
YJR149W_CNV,1
YOR227W,1
YOR132W,1
YLL045C,1
YER188W,1
YDL241W_CNV,1
YDR090C,1
YCR024C-B,1
YGL150C,1
YDR012W,1
YKL034W,1
YKR071C,1
YCL038C,1
YDR456W,1
YDR223W,1
YDR278C,1
YER030W,1
YBR152W,1
YJR112W-A,1
YLR110C,1
YBL081W,1
YOL040C,1
YCR040W_CNV,1
YPR124W,1
YLR178C,1
YLR152C,1
YNL142W,1
YJL020C,1
YJL098W,1
YJR039W,1
YOR315W,1
YER047C,1
YHR202W,1
YOL112W,1
YGR271W,1
YOL098C,1
YNR065C,1
YLR296W_CNV,1
YBR230W-A_CNV,1
YOR137C,1
YNL018C,1
YHL045W,1
YHL048C-A_CNV,1
