Feature_ID,Frequency
YBR291C,8
YNL170W_CNV,8
YMR080C,8
YHR043C_CNV,6
YGR256W,6
YLR154W-F,6
YML009C-A_CNV,6
YDL227C,6
YBL042C,5
YDR060W,5
YAR035W_CNV,5
YLR154C-H,5
YPL267W,5
YAL016C-A_CNV,5
YKR105C,4
YJL217W,4
YMR179W,4
YOR194C,4
YDR041W,4
YMR181C,4
YMR119W-A_CNV,4
YFL008W,4
YGL038C,4
YBR234C,4
YER165C-A_CNV,3
YLL025W_CNV,3
YER134C_CNV,3
YCR102C_CNV,3
YNL142W,3
YPL268W,3
YOR137C,3
YMR316C-A,3
YGR293C_CNV,3
YIL005W,3
YGL227W,3
YPL235W,3
YBR028C,3
YGR271W,3
YIR018C-A_CNV,3
YDL122W,3
YOR392W_CNV,3
YCL034W,2
YBR295W,2
YNR049C,2
YAL026C-A,2
YJL016W,2
YDL186W,2
YBR236C,2
YML047C,2
YOL112W,2
YDR475C,2
YLR141W_CNV,2
YCR020C,2
YGR074W_CNV,2
YKR096W,2
YMR090W,2
YHR102W,2
YER171W,2
YCR077C,2
YLR410W,2
YIL107C,2
YKL220C,2
YHL047C_CNV,2
YIL024C,2
YHL045W,2
YLR134W,2
YGL150C,2
YAR070C,2
YLR286C,2
YLR417W,2
YKL036C_CNV,2
YBR230W-A_CNV,2
YDR442W,2
YLR241W,2
YLR152C,2
YJL098W,2
YGL139W,2
YJR106W,2
YMR280C,2
YOL070C,2
YLR467W,2
YOL098C,2
YBL006W-A,2
YER093C,2
YKL062W,2
YEL016C,2
YIR017W-A,2
YLR001C,2
YOL097W-A_CNV,2
YER135C_CNV,2
YLR296W_CNV,2
YIL149C,1
YMR316W,1
YPR188C,1
YDR309C,1
YNL205C_CNV,1
YGR228W,1
YBR298C_CNV,1
YHL048C-A_CNV,1
YDR244W,1
YDL001W,1
YLR055C,1
YDL188C,1
YOL063C,1
YCR102W-A_CNV,1
YHR204W,1
YML086C,1
YPR176C,1
YBR069C,1
YHR033W,1
YLR078C,1
YDL020C,1
YAR019C,1
YGL262W_CNV,1
YDL140C,1
YKL210W,1
YDR460W,1
YOR156C,1
YDR296W,1
YAR023C,1
YHR106W,1
YBL105C,1
YGL022W,1
YNL173C,1
YLR236C_CNV,1
YAL017W,1
YDR012W,1
YAL053W,1
YPR042C,1
YKL222C_CNV,1
YLR260W,1
YGR127W,1
YDL191W,1
YML013W,1
YIR020C_CNV,1
YKL151C,1
YHR056C,1
YPL100W,1
YKR071C,1
YMR173W,1
YAL058W,1
YIL014C-A_CNV,1
YGR171C,1
YAR029W_CNV,1
YDL097C,1
YJL107C,1
YER056C,1
YJL117W,1
YER046W-A_CNV,1
YOR315W,1
YMR221C,1
YKL034W,1
YGL154C,1
YPL218W,1
YBR060C,1
YPL180W,1
YLL045C,1
YCR097W-A,1
YLL020C_CNV,1
YPR029C,1
YIL147C,1
YCR100C,1
YCR060W_CNV,1
YGL142C,1
YKR010C,1
YFL063W,1
YJL020C,1
YJR021C,1
YPL257W_CNV,1
YER188W,1
YOR115C,1
YDL195W,1
YOL059W,1
YLR041W,1
YPR200C,1
YJL151C_CNV,1
YDR205W,1
YNL018C,1
YNR065C,1
YNR066C,1
YPR053C_CNV,1
YJR039W,1
YAR068W_CNV,1
YIR039C_CNV,1
YOR202W,1
YGR155W,1
YHR202W,1
YBR093C,1
YEL069C,1
YMR259C,1
YCR073W-A_CNV,1
YHR165C,1
YLR230W_CNV,1
YLR178C,1
YHR001W,1
YBL075C,1
YOL086C_CNV,1
YJL095W,1
YGL157W,1
YIL169C_CNV,1
YMR006C_CNV,1
YER047C,1
YHR131W-A_CNV,1
YFL053W_CNV,1
YFL051C,1
YLR265C,1
YOR227W,1
YAL039C_CNV,1
YJR153W_CNV,1
YOR132W,1
YGR291C_CNV,1
YPR124W,1
YGR292W_CNV,1
YPR192W_CNV,1
YPR196W_CNV,1
YJL041W,1
