Feature_ID,Frequency
YBR291C,8
YHR043C_CNV,8
YNL170W_CNV,8
YAR035W_CNV,7
YGR256W,7
YLR154C-H,7
YLR154W-F,7
YBL042C,7
YML009C-A_CNV,6
YKR105C,6
YPL267W,6
YBR028C,6
YMR119W-A_CNV,6
YLL025W_CNV,5
YIR017W-A,5
YOR194C,5
YMR179W,5
YAL016C-A_CNV,5
YPL235W,5
YGL227W,5
YDL227C,4
YBR060C,4
YMR080C,4
YIL005W,4
YLR078C,4
YBR093C,4
YIR018C-A_CNV,4
YER134C_CNV,3
YOR392W_CNV,3
YPL268W,3
YJR076C,3
YLR141W_CNV,3
YMR316C-A,3
YGR293C_CNV,3
YCR102C_CNV,3
YDL178W,3
YLR467W,3
YER165C-A_CNV,3
YBL006W-A,3
YDL188C,3
YCR097W-A,2
YDR442W,2
YKL036C_CNV,2
YBR230W-A_CNV,2
YLR241W,2
YEL016C,2
YJL217W,2
YLR286C,2
YAR068W_CNV,2
YAR070C,2
YOL059W,2
YLR137W,2
YML057C-A_CNV,2
YCR102W-A_CNV,2
YDR060W,2
YEL013W,2
YLR417W,2
YGR271W,2
YMR161W,2
YJR106W,2
YGL038C,2
YDR041W,2
YOR132W,2
YPR200C,2
YOR139C,2
YNR072W_CNV,2
YGR171C,2
YMR181C,2
YOR073W-A,2
YFL063W,2
YCL008C_CNV,2
YBR234C,2
YOR137C,2
YIR039C_CNV,2
YOL097W-A_CNV,2
YNL142W,2
YLR236C_CNV,2
YHR102W,1
YIL024C,1
YHL047C_CNV,1
YIL107C,1
YCR077C,1
YIL149C,1
YDR244W,1
YDL122W,1
YHL048C-A_CNV,1
YBR298C_CNV,1
YCR020C,1
YML086C,1
YER171W,1
YNR073C_CNV,1
YKL220C,1
YKR096W,1
YGR074W_CNV,1
YLR055C,1
YPR188C,1
YMR316W,1
YBR236C,1
YBR295W,1
YOL063C,1
YMR090W,1
YDR475C,1
YLR410W,1
YLR152C,1
YDL186W,1
YHR204W,1
YAL026C-A,1
YLR134W,1
YNR049C,1
YKR100C,1
YOR115C,1
YAR023C,1
YOR170W_CNV,1
YML047C,1
YDL020C,1
YKL062W,1
YHR033W,1
YBR069C,1
YPR176C,1
YBR067C,1
YMR259C,1
YFL059W_CNV,1
YBR102C,1
YDR407C,1
YHR095W_CNV,1
YIL111W,1
YMR221C,1
YBR005W,1
YOR156C,1
YLR432W,1
YEL069C,1
YCR073W-A_CNV,1
YGL150C,1
YLR041W,1
YLR296W_CNV,1
YJR021C,1
YPL180W,1
YHL045W,1
YJL098W,1
YOL070C,1
YFL008W,1
YKL210W,1
YGL139W,1
YDR309C,1
YPL257W_CNV,1
YNL205C_CNV,1
YJR153W_CNV,1
YBR046C,1
YLR001C,1
YHR145C,1
YIL169C_CNV,1
YGL142C,1
YBR093C_CNV,1
YGL161C,1
YGL176C,1
YER135C_CNV,1
YOL112W,1
YIL147C,1
YDR149C,1
YPL250C,1
YPR073C,1
YLL020C_CNV,1
YAR035C-A,1
YCR100C,1
YJL129C,1
YDL195W,1
YEL021W_CNV,1
YER093C,1
YAL039C_CNV,1
YOL086C_CNV,1
YIR036W-A_CNV,1
YFL051C,1
YFL053W_CNV,1
YDL017W,1
YGL157W,1
YOR202W,1
YCR040W_CNV,1
YER071C,1
YJL218W_CNV,1
YJL016W,1
YJR001W,1
YOL098C,1
YDR205W,1
YGL154C,1
YMR120C,1
YGL063W_CNV,1
YNL173C,1
YPL218W,1
YJL041W,1
YHR131W-A_CNV,1
YPL019C,1
YDR509W,1
YPL035C_CNV,1
YOL079W,1
YER141W,1
YCR077C_CNV,1
YJL151C_CNV,1
YFL052W_CNV,1
YOR118W,1
YBR012C_CNV,1
YCR061W_CNV,1
YGR187C,1
YPR053C_CNV,1
YCR006C_CNV,1
YCR053W,1
YBL108C-A_CNV,1
YAL020C_CNV,1
YAR069C,1
YDR090C,1
YAL047C_CNV,1
YHR019C,1
YER046W-A_CNV,1
